"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000280109.4",486.752341075931,6.50154633162891,0.282934582876224,22.9789736748906,7.56539383306437e-117,1.67785304429702e-112
"ENSG00000142178.10",970.89488658172,5.0866621977319,0.231041182560865,22.0162576271089,2.0121020085787e-107,2.23121991731292e-103
"ENSG00000251562.13",33357.3056332617,-12.4484330899241,0.56861277646445,-21.8926369669823,3.05330861481249e-106,2.25720928197705e-102
"ENSG00000150991.17",22232.6633282103,-4.58522934186309,0.220028126971829,-20.8392872537163,1.90656150785929e-96,1.05709302803258e-92
"ENSG00000196262.16",5205.65072499568,-6.31849915874952,0.306295798306852,-20.6287490513322,1.51519131468118e-94,6.72078259539983e-91
"ENSG00000156860.16",1450.05431475011,4.66244807032515,0.234245300770413,19.9041263794439,3.74768341066323e-88,1.38526871136148e-84
"ENSG00000099381.20",895.816835446444,3.91656080266703,0.213704960550524,18.3269531627979,5.04378222825378e-75,1.59801431797446e-71
"ENSG00000174282.13",832.69333586255,4.24271576640733,0.237052580604358,17.8977835026755,1.22709359139472e-71,3.40181020874401e-68
"ENSG00000000971.18",2209.97075964245,-7.1513434379809,0.402727786237174,-17.7572635471676,1.51440034850234e-70,3.73181899212055e-67
"ENSG00000205903.8",355.400471541964,6.97469539913036,0.394856286705447,17.6638833772281,7.95718578743126e-70,1.7647446639365e-66
"ENSG00000198242.15",3461.06574704544,-7.23874628664937,0.415014913593684,-17.4421353294701,3.95034639932507e-68,7.96461658583921e-65
"ENSG00000179967.11",296.586333136235,6.96123427016779,0.399485679891158,17.4254913769736,5.28524695064505e-68,9.76801723928383e-65
"ENSG00000128283.8",913.318330901143,6.70940977587088,0.385558574171839,17.4017911293566,7.99630163214318e-68,1.36416905844363e-64
"ENSG00000183963.20",702.218301188139,4.84837552697006,0.28430370795463,17.0535078907369,3.29171471727648e-65,5.21454635712556e-62
"ENSG00000225840.2",7513.39772205587,-5.49674359521423,0.322550798615692,-17.0414818962002,4.043547365246e-65,5.97851956442839e-62
"ENSG00000128016.9",2884.73156460217,4.68233244771602,0.290113853078439,16.1396375872132,1.34327723267365e-58,1.86195015413976e-55
"ENSG00000107290.15",1517.10368152539,-4.08826156382058,0.257885250726656,-15.8530259187017,1.33971631150568e-56,1.74777813862195e-53
