"Gene_symbol","log2FoldChange"
"USP17L17",24.6136878309379
"RPL13P12",24.2722278228347
"NSUN5P1",23.8860505604492
"LCN1",18.8064813972177
"LOC128071547",13.1414483049118
"DDIT4-AS1",12.3260757060934
"CRIM1",12.1998301545542
"MIR8485",11.7563581749768
"HLA-DRA",11.0126290756195
"ARFGEF1-DT",10.5663102512066
"PRR9",10.4492058956871
"POLGARF",10.4436040574566
"SNTB2",10.3354595029094
"LOC107987457",10.3005449616548
"PPP1R18",10.3005449616548
"ARTN",10.1847453984044
"KLHDC7B",10.1822748576557
"GAGE12B",10.0852170309154
"BPIFA2",10.0842436786641
"IL11",10.0439429005023
"LOC100506235",9.93518147879823
"TNXB",9.93412215977873
"LOC105376039",9.84759053844383
"MTLN",9.83297222777008
"POTEB",9.57308023864021
"POTEB2",9.57308023864021
"LOC101929918",9.51734789119427
"NKX3-2",9.49958910220538
"TRIM51",9.458985814048
"LOC124901933",9.41431471618586
"SH2D5",9.37225784060079
"PCSK1N",9.35927382828954
"TRIM49B",9.34330629012573
"BPIFA1",9.31320642977973
"DCSTAMP",9.28179503838843
"HNRNPCL2",9.28179503838843
"KBTBD11",9.22252673567879
"PYCARD-AS1",9.21976378869416
"LHX1",9.20943348363993
"CROCC2",9.19199625262707
"C6orf47",9.15939115795444
"GOT1L1",9.15029944513769
"SPINK1",9.1493154672567
"EFCAB3",9.08821306422594
"HSPA1A",9.07003518237061
"LOC124902990",9.04265593168429
"LINC02854",8.95662282333995
"EPOP",8.93787192807164
"CDC42EP5",8.90287531761503
"OR10G9",8.87439623997875
"NFKBIL1",8.87096923716691
"SPATA31D4",8.806942535849
"MARCHF8",8.78413209415728
"LOC100131107",8.77346030366508
"ADORA2A",8.76921870310725
"SMAD1-AS1",8.74379758721921
"NKAIN4",8.72163503609004
"HOXC11",8.69230315651008
"LINC01964",8.68697419769563
"MSMP",8.6810167204342
"KLF17",8.66381258538901
"CXorf49B",8.66248574303912
"NR5A1",8.64145976631576
"SNORC",8.6293662042025
"MYPOP",8.60390020599965
"KLHL34",8.57496757585656
"DNAJC25-GNG10",8.57022584873431
"BHLHE23",8.56403385031514
"FAM20C",8.56117468031517
"DRC11L",8.56074597505548
"CST8",8.54165691957921
"PRR29-AS1",8.47787319017563
"CCDC187",8.4744605830655
"EDDM13",8.4635436984012
"LOC124900420",8.4635436984012
"MELTF-AS1",8.45684837115523
"PRB4",8.42875940071319
"LBX1",8.42133576370476
"PEAK3",8.39661490810132
"LOC124902629",8.37987896251235
"SPACA6",8.35796586762507
"BCLAF1P2",8.35729798566426
"RSPH6A",8.34769170236584
"CEACAM18",8.34370379982239
"CROCCP3",8.34370379982239
"NPW",8.34370379982239
"C17orf113",8.32050371537825
"TRIM71",8.31830997483834
"GPR150",8.28480022728893
"CGB1",8.28423390648675
"PRDM12",8.23139492304774
"SPACA1",8.23139492304774
"LINC03103",8.22945377831723
"GGTLC2",8.22384848447731
"KCTD16",8.21518807258207
"MEI4",8.21518807258207
"OR2T11",8.21518807258207
"FER1L6-AS2",8.21358243933896
"TMEM151A",8.19001096932215
"TLX3",8.16883720958585
"NXN",8.16835668151823
"ABCB11",8.15126831497633
"TAS2R43",8.12547395582396
"TAS2R45",8.12547395582396
"OR8G2P",8.11873960220546
"KCNE1",8.10631787546288
"LOC124900388",8.08544666109284
"SMIM48",8.08544666109284
"ACRP1",8.07950041572685
"TNFRSF12A",8.07772762216296
"BPIFB3",8.07729165125046
"CCER2",8.07729165125046
"CXorf49",8.07729165125046
"P2RX3",8.07729165125046
"PRM1",8.07729165125046
"ZCCHC12",8.07729165125046
"MIR6739",8.07434654513484
"TEX13D",8.02110773035093
"FKBP4P6",8.01303842762219
"SPATA31D3",8.00531696518001
"TTLL8",8.00324108447739
"PRR23C",7.99131531123126
"TRNP1",7.96806258504747
"ARL2-SNX15",7.94354337566049
"OR5J2",7.9409697053132
"SMIM10L1",7.93623610032837
"FAM216B",7.92859253410699
"RETNLB",7.92859253410699
"NALCN-AS1",7.92483097537024
"OR2T29",7.92483097537024
"OR2T5",7.92483097537024
"OR4N1P",7.92483097537024
"AQP12A",7.91796468502424
"HPCA",7.90792273299263
"VGF",7.9078613255851
"DDN",7.87867928006402
"ONECUT1",7.84925974423109
"SI",7.81376404724173
"CHRNB3",7.78907925561764
"SAP25",7.78049708108608
"LOC102724719",7.77487354566911
"AMBN",7.77047163480713
"CCER1",7.77047163480713
"HNF1B",7.77047163480713
"MEF2C-AS2",7.76739998936969
"TRCG1P",7.76016638700979
"RNF39",7.75634328679619
"CALHM4",7.75437511583006
"GBX2",7.75437511583006
"IFNL1",7.75437511583006
"MCHR2",7.75437511583006
"EML4-AS1",7.75298170184378
"NTMT2",7.74965674466884
"MYG1",7.73760866507495
"LYZL1",7.73200479869601
"ETDC",7.72722324248966
"RASSF7",7.72364811578392
"BRDT",7.7234907672207
"CGB8",7.71459565819152
"CAMKV",7.69923684796389
"RBMY1D",7.69923684796389
"VWA5B2",7.68876858625271
"TENT5D",7.67430557313311
"SCT",7.67264313811194
"MMP11",7.66996122090614
"KASH5",7.66236102693668
"OBP2A",7.64346435706994
"FAM47B",7.6087901868426
"OR4A4P",7.6087901868426
"RAD21P1",7.6087901868426
"ILRUN-AS1",7.59499090025776
"LOC107984564",7.58706737353938
"CT45A7",7.57681830469418
"ERFL",7.57681830469418
"OTP",7.57681830469418
"PRAMEF33",7.57681830469418
"ALLC",7.56077348827333
"KRTAP5-10",7.56077348827333
"LIPF",7.56077348827333
"LOC101930090",7.56077348827333
"LOC107986277",7.56077348827333
"MBL2",7.56077348827333
"OR10G8",7.56077348827333
"SAGE1",7.56077348827333
"B4GALT1-AS1",7.5500394057172
"PANO1",7.53874719211946
"NKD2",7.53790292573122
"TRIM49",7.52325575148726
"FAM90A20",7.49604598466109
"SLC18A1",7.48703878378928
"EVA1CP1",7.48454367384164
"LILRA6",7.48454367384164
"AICDA",7.48424107944436
"OR11L1",7.45686297530838
"LINC02914",7.44555868810055
"SSX5",7.44159477215189
"OR8B8",7.4365913144238
"TMPRSS7",7.4329276304485
"DUX4L10",7.42618497514971
"DUX4L11",7.42618497514971
"DUX4L14",7.42618497514971
"DUX4L15",7.42618497514971
"NOTCH4",7.41700588308941
"MMP23B",7.40762585889862
"LRRC77P",7.4056229016383
"DAW1",7.38725645901446
"DYNLT4",7.38290846896226
"GATA4",7.38210519558254
"OR9Q2",7.3757647854721
"PGC",7.37226981912958
"CST1",7.35748389228493
"ASDURF",7.35304189250936
"CXorf51A",7.35304189250936
"HES3",7.35304189250936
"MAFG-AS1",7.35304189250936
"OR4A47",7.35304189250936
"SSTR4",7.35304189250936
"TMEM265",7.35304189250936
