"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"MF","GO:0005179","hormone activity",113,0.6093230823264,2.84155230660473,1e-10,6.01904761904762e-09,4.41395154553049e-09,5281,"tags=47%, list=12%, signal=41%","ENSG00000267631/ENSG00000163515/ENSG00000128564/ENSG00000070031/ENSG00000163794/ENSG00000145040/ENSG00000163217/ENSG00000274473/ENSG00000161610/ENSG00000136488/ENSG00000122641/ENSG00000172179/ENSG00000120211/ENSG00000069482/ENSG00000118702/ENSG00000291972/ENSG00000103260/ENSG00000170893/ENSG00000125787/ENSG00000187871/ENSG00000089199/ENSG00000167244/ENSG00000139574/ENSG00000134443/ENSG00000104899/ENSG00000104826/ENSG00000130173/ENSG00000141433/ENSG00000196337/ENSG00000123999/ENSG00000184502/ENSG00000101200/ENSG00000101440/ENSG00000160404/ENSG00000146540/ENSG00000184163/ENSG00000242252/ENSG00000130513/ENSG00000130427/ENSG00000110680/ENSG00000157017/ENSG00000204414/ENSG00000176845/ENSG00000128165/ENSG00000087494/ENSG00000120210/ENSG00000197696/ENSG00000291631/ENSG00000188958/ENSG00000115138/ENSG00000178752/ENSG00000142449/ENSG00000248329"
"BP","GO:0050911","detection of chemical stimulus involved in sensory perception of smell",311,0.520643909495369,2.77286720764525,1e-10,6.01904761904762e-09,4.41395154553049e-09,12327,"tags=55%, list=29%, signal=39%","ENSG00000236981/ENSG00000292019/ENSG00000181214/ENSG00000174957/ENSG00000275102/ENSG00000254769/ENSG00000234560/ENSG00000197591/ENSG00000197125/ENSG00000186513/ENSG00000237388/ENSG00000179615/ENSG00000175398/ENSG00000181961/ENSG00000168131/ENSG00000179626/ENSG00000124657/ENSG00000130538/ENSG00000278889/ENSG00000172150/ENSG00000275617/ENSG00000274870/ENSG00000183310/ENSG00000196171/ENSG00000254834/ENSG00000277932/ENSG00000136839/ENSG00000176290/ENSG00000291821/ENSG00000174937/ENSG00000291859/ENSG00000177186/ENSG00000272987/ENSG00000174339/ENSG00000172208/ENSG00000196578/ENSG00000292014/ENSG00000187080/ENSG00000148215/ENSG00000172519/ENSG00000277556/ENSG00000279514/ENSG00000220721/ENSG00000196119/ENSG00000186723/ENSG00000255307/ENSG00000180988/ENSG00000127529/ENSG00000260811/ENSG00000292249/ENSG00000176742/ENSG00000182613/ENSG00000186440/ENSG00000284662/ENSG00000284733/ENSG00000176299/ENSG00000255804/ENSG00000279395/ENSG00000175619/ENSG00000181803/ENSG00000176540/ENSG00000181001/ENSG00000174667/ENSG00000258453/ENSG00000278870/ENSG00000280094/ENSG00000185926/ENSG00000181518/ENSG00000167825/ENSG00000279961/ENSG00000186943/ENSG00000291849/ENSG00000167355/ENSG00000255713/ENSG00000170923/ENSG00000181767/ENSG00000176798/ENSG00000251608/ENSG00000177201/ENSG00000262628/ENSG00000262851/ENSG00000172324/ENSG00000168158/ENSG00000221888/ENSG00000171561/ENSG00000172320/ENSG00000070729/ENSG00000237521/ENSG00000180785/ENSG00000241128/ENSG00000284680/ENSG00000187918/ENSG00000177489/ENSG00000234746/ENSG00000203757/ENSG00000197887/ENSG00000176895/ENSG00000169488/ENSG00000230301/ENSG00000176198/ENSG00000196248/ENSG00000179695/ENSG00000292303/ENSG00000180974/ENSG00000284939/ENSG00000205029/ENSG00000198967/ENSG00000279270/ENSG00000180919/ENSG00000237621/ENSG00000254466/ENSG00000280021/ENSG00000198601/ENSG00000232945/ENSG00000181958/ENSG00000236032/ENSG00000258806/ENSG00000172365/ENSG00000275754/ENSG00000183251/ENSG00000291812/ENSG00000226000/ENSG00000148136/ENSG00000162727/ENSG00000197532/ENSG00000181273/ENSG00000279000/ENSG00000255425/ENSG00000181752/ENSG00000176253/ENSG00000173302/ENSG00000291780/ENSG00000183269/ENSG00000183024/ENSG00000179919/ENSG00000161807/ENSG00000170953/ENSG00000273508/ENSG00000291809/ENSG00000228336/ENSG00000225550/ENSG00000172289/ENSG00000188324/ENSG00000183389/ENSG00000291806/ENSG00000258083/ENSG00000184022/ENSG00000291810/ENSG00000275244/ENSG00000184478/ENSG00000176495/ENSG00000280090/ENSG00000169208/ENSG00000171481/ENSG00000226347/ENSG00000176200/ENSG00000182070/ENSG00000196832/ENSG00000221813/ENSG00000213215/ENSG00000284866/ENSG00000184933/ENSG00000239590/ENSG00000184321/ENSG00000183313/ENSG00000176269/ENSG00000203663/ENSG00000232268/ENSG00000181616/ENSG00000171942"
"MF","GO:0004984","olfactory receptor activity",309,0.520437837381452,2.76143340385823,1e-10,6.01904761904762e-09,4.41395154553049e-09,12327,"tags=55%, list=29%, signal=39%","ENSG00000236981/ENSG00000292019/ENSG00000181214/ENSG00000174957/ENSG00000275102/ENSG00000254769/ENSG00000234560/ENSG00000197591/ENSG00000197125/ENSG00000186513/ENSG00000237388/ENSG00000179615/ENSG00000175398/ENSG00000181961/ENSG00000168131/ENSG00000179626/ENSG00000124657/ENSG00000130538/ENSG00000278889/ENSG00000172150/ENSG00000275617/ENSG00000274870/ENSG00000183310/ENSG00000196171/ENSG00000254834/ENSG00000277932/ENSG00000136839/ENSG00000176290/ENSG00000291821/ENSG00000174937/ENSG00000291859/ENSG00000177186/ENSG00000272987/ENSG00000174339/ENSG00000172208/ENSG00000196578/ENSG00000292014/ENSG00000187080/ENSG00000148215/ENSG00000172519/ENSG00000277556/ENSG00000279514/ENSG00000220721/ENSG00000196119/ENSG00000186723/ENSG00000255307/ENSG00000180988/ENSG00000127529/ENSG00000260811/ENSG00000292249/ENSG00000176742/ENSG00000182613/ENSG00000186440/ENSG00000284662/ENSG00000284733/ENSG00000176299/ENSG00000255804/ENSG00000279395/ENSG00000175619/ENSG00000181803/ENSG00000176540/ENSG00000181001/ENSG00000174667/ENSG00000258453/ENSG00000278870/ENSG00000280094/ENSG00000185926/ENSG00000181518/ENSG00000167825/ENSG00000279961/ENSG00000186943/ENSG00000291849/ENSG00000167355/ENSG00000255713/ENSG00000170923/ENSG00000181767/ENSG00000176798/ENSG00000251608/ENSG00000177201/ENSG00000262628/ENSG00000262851/ENSG00000172324/ENSG00000168158/ENSG00000221888/ENSG00000171561/ENSG00000172320/ENSG00000237521/ENSG00000180785/ENSG00000241128/ENSG00000284680/ENSG00000187918/ENSG00000177489/ENSG00000234746/ENSG00000203757/ENSG00000197887/ENSG00000176895/ENSG00000169488/ENSG00000230301/ENSG00000176198/ENSG00000196248/ENSG00000179695/ENSG00000292303/ENSG00000180974/ENSG00000284939/ENSG00000205029/ENSG00000198967/ENSG00000279270/ENSG00000180919/ENSG00000237621/ENSG00000254466/ENSG00000280021/ENSG00000198601/ENSG00000232945/ENSG00000181958/ENSG00000236032/ENSG00000258806/ENSG00000172365/ENSG00000275754/ENSG00000183251/ENSG00000291812/ENSG00000226000/ENSG00000148136/ENSG00000162727/ENSG00000197532/ENSG00000181273/ENSG00000279000/ENSG00000255425/ENSG00000181752/ENSG00000176253/ENSG00000173302/ENSG00000291780/ENSG00000183269/ENSG00000183024/ENSG00000179919/ENSG00000161807/ENSG00000170953/ENSG00000273508/ENSG00000291809/ENSG00000228336/ENSG00000225550/ENSG00000172289/ENSG00000188324/ENSG00000183389/ENSG00000291806/ENSG00000258083/ENSG00000184022/ENSG00000291810/ENSG00000275244/ENSG00000184478/ENSG00000176495/ENSG00000280090/ENSG00000169208/ENSG00000171481/ENSG00000226347/ENSG00000176200/ENSG00000182070/ENSG00000196832/ENSG00000221813/ENSG00000213215/ENSG00000284866/ENSG00000184933/ENSG00000239590/ENSG00000184321/ENSG00000183313/ENSG00000176269/ENSG00000203663/ENSG00000232268/ENSG00000181616/ENSG00000171942"
"BP","GO:0007608","sensory perception of smell",345,0.492460096411953,2.65021592826436,1e-10,6.01904761904762e-09,4.41395154553049e-09,12327,"tags=52%, list=29%, signal=37%","ENSG00000236981/ENSG00000292019/ENSG00000181214/ENSG00000174957/ENSG00000275102/ENSG00000122136/ENSG00000254769/ENSG00000234560/ENSG00000197591/ENSG00000197125/ENSG00000186513/ENSG00000237388/ENSG00000179615/ENSG00000175398/ENSG00000132259/ENSG00000181961/ENSG00000168131/ENSG00000179626/ENSG00000124657/ENSG00000130538/ENSG00000278889/ENSG00000172150/ENSG00000275617/ENSG00000274870/ENSG00000183310/ENSG00000196171/ENSG00000254834/ENSG00000277932/ENSG00000136839/ENSG00000176290/ENSG00000291821/ENSG00000174937/ENSG00000291859/ENSG00000177186/ENSG00000272987/ENSG00000173610/ENSG00000174339/ENSG00000172208/ENSG00000196578/ENSG00000292014/ENSG00000187080/ENSG00000148215/ENSG00000172519/ENSG00000277556/ENSG00000279514/ENSG00000220721/ENSG00000196119/ENSG00000186723/ENSG00000255307/ENSG00000180988/ENSG00000127529/ENSG00000260811/ENSG00000292249/ENSG00000176742/ENSG00000182613/ENSG00000186440/ENSG00000284662/ENSG00000284733/ENSG00000176299/ENSG00000255804/ENSG00000279395/ENSG00000175619/ENSG00000181803/ENSG00000176540/ENSG00000181001/ENSG00000261949/ENSG00000174667/ENSG00000258453/ENSG00000278870/ENSG00000280094/ENSG00000185926/ENSG00000181518/ENSG00000167825/ENSG00000279961/ENSG00000186943/ENSG00000291849/ENSG00000167355/ENSG00000255713/ENSG00000170923/ENSG00000181767/ENSG00000171102/ENSG00000176798/ENSG00000251608/ENSG00000142319/ENSG00000177201/ENSG00000262628/ENSG00000262851/ENSG00000172324/ENSG00000168158/ENSG00000221888/ENSG00000171561/ENSG00000172320/ENSG00000070729/ENSG00000237521/ENSG00000185101/ENSG00000180785/ENSG00000241128/ENSG00000284680/ENSG00000187918/ENSG00000177489/ENSG00000234746/ENSG00000203757/ENSG00000197887/ENSG00000176895/ENSG00000169488/ENSG00000230301/ENSG00000176198/ENSG00000196248/ENSG00000179695/ENSG00000292303/ENSG00000180974/ENSG00000284939/ENSG00000205029/ENSG00000198967/ENSG00000279270/ENSG00000180919/ENSG00000237621/ENSG00000254466/ENSG00000280021/ENSG00000198601/ENSG00000232945/ENSG00000181958/ENSG00000236032/ENSG00000258806/ENSG00000172365/ENSG00000275754/ENSG00000183251/ENSG00000291812/ENSG00000226000/ENSG00000148136/ENSG00000162727/ENSG00000197532/ENSG00000181273/ENSG00000279000/ENSG00000255425/ENSG00000181752/ENSG00000176253/ENSG00000173302/ENSG00000291780/ENSG00000183269/ENSG00000183024/ENSG00000179919/ENSG00000161807/ENSG00000170953/ENSG00000273508/ENSG00000146383/ENSG00000291809/ENSG00000228336/ENSG00000225550/ENSG00000172289/ENSG00000188324/ENSG00000183389/ENSG00000291806/ENSG00000258083/ENSG00000184022/ENSG00000291810/ENSG00000275244/ENSG00000184478/ENSG00000176495/ENSG00000183862/ENSG00000280090/ENSG00000169208/ENSG00000171481/ENSG00000226347/ENSG00000176200/ENSG00000182070/ENSG00000196832/ENSG00000221813/ENSG00000213215/ENSG00000284866/ENSG00000184933/ENSG00000239590/ENSG00000184321/ENSG00000183313/ENSG00000176269/ENSG00000203663/ENSG00000232268/ENSG00000181616/ENSG00000171942"
"BP","GO:0050907","detection of chemical stimulus involved in sensory perception",375,0.444517044411294,2.41693432192426,1e-10,6.01904761904762e-09,4.41395154553049e-09,12327,"tags=50%, list=29%, signal=36%","ENSG00000236981/ENSG00000292019/ENSG00000255374/ENSG00000181214/ENSG00000174957/ENSG00000275102/ENSG00000254769/ENSG00000234560/ENSG00000197591/ENSG00000197125/ENSG00000186513/ENSG00000170373/ENSG00000237388/ENSG00000179615/ENSG00000175077/ENSG00000291554/ENSG00000175398/ENSG00000181961/ENSG00000168131/ENSG00000179626/ENSG00000124657/ENSG00000130538/ENSG00000278889/ENSG00000172150/ENSG00000275617/ENSG00000274870/ENSG00000183310/ENSG00000196171/ENSG00000254834/ENSG00000277932/ENSG00000136839/ENSG00000176290/ENSG00000291821/ENSG00000174937/ENSG00000291859/ENSG00000177186/ENSG00000272987/ENSG00000174339/ENSG00000172208/ENSG00000196578/ENSG00000292014/ENSG00000187080/ENSG00000148215/ENSG00000172519/ENSG00000277556/ENSG00000279514/ENSG00000220721/ENSG00000196119/ENSG00000186723/ENSG00000255307/ENSG00000180988/ENSG00000198471/ENSG00000127529/ENSG00000260811/ENSG00000292249/ENSG00000176742/ENSG00000182613/ENSG00000186440/ENSG00000284662/ENSG00000284733/ENSG00000176299/ENSG00000255804/ENSG00000179002/ENSG00000279395/ENSG00000175619/ENSG00000181803/ENSG00000176540/ENSG00000131686/ENSG00000181001/ENSG00000174667/ENSG00000258453/ENSG00000278870/ENSG00000280094/ENSG00000185926/ENSG00000181518/ENSG00000167825/ENSG00000279961/ENSG00000186943/ENSG00000291849/ENSG00000169962/ENSG00000167355/ENSG00000255713/ENSG00000170923/ENSG00000181767/ENSG00000176798/ENSG00000251608/ENSG00000177201/ENSG00000262628/ENSG00000262851/ENSG00000172324/ENSG00000168158/ENSG00000221888/ENSG00000171561/ENSG00000172320/ENSG00000070729/ENSG00000237521/ENSG00000257138/ENSG00000180785/ENSG00000241128/ENSG00000284680/ENSG00000213199/ENSG00000187918/ENSG00000177489/ENSG00000234746/ENSG00000203757/ENSG00000197887/ENSG00000176895/ENSG00000169488/ENSG00000230301/ENSG00000176198/ENSG00000196248/ENSG00000179695/ENSG00000292303/ENSG00000180974/ENSG00000284939/ENSG00000205029/ENSG00000198967/ENSG00000279270/ENSG00000180919/ENSG00000237621/ENSG00000254466/ENSG00000273713/ENSG00000280021/ENSG00000198601/ENSG00000232945/ENSG00000181958/ENSG00000236032/ENSG00000258806/ENSG00000172365/ENSG00000275754/ENSG00000183251/ENSG00000291812/ENSG00000226000/ENSG00000148136/ENSG00000121377/ENSG00000274327/ENSG00000162727/ENSG00000197532/ENSG00000181273/ENSG00000279000/ENSG00000255425/ENSG00000181752/ENSG00000176253/ENSG00000173302/ENSG00000291780/ENSG00000183269/ENSG00000183024/ENSG00000179919/ENSG00000161807/ENSG00000170953/ENSG00000273508/ENSG00000291809/ENSG00000228336/ENSG00000225550/ENSG00000172289/ENSG00000188324/ENSG00000183389/ENSG00000291806/ENSG00000258083/ENSG00000184022/ENSG00000291810/ENSG00000275244/ENSG00000184478/ENSG00000176495/ENSG00000280090/ENSG00000169208/ENSG00000273086/ENSG00000171481/ENSG00000226347/ENSG00000273326/ENSG00000176200/ENSG00000182070/ENSG00000196832/ENSG00000221813/ENSG00000213215/ENSG00000284866/ENSG00000184933/ENSG00000239590/ENSG00000114349/ENSG00000184321/ENSG00000183313/ENSG00000176269/ENSG00000121314/ENSG00000203663/ENSG00000232268/ENSG00000181616/ENSG00000171942"
"CC","GO:0098644","complex of collagen trimers",34,0.6581935107962,2.37454971011191,4.7448137300572e-07,1.33276545662051e-05,9.77357635195214e-06,3972,"tags=44%, list=9%, signal=40%","ENSG00000080573/ENSG00000060718/ENSG00000232541/ENSG00000196739/ENSG00000206290/ENSG00000223699/ENSG00000108821/ENSG00000084636/ENSG00000144810/ENSG00000134871/ENSG00000197565/ENSG00000139219/ENSG00000204248/ENSG00000114270/ENSG00000130635"
"MF","GO:0005549","odorant binding",79,0.534474758973593,2.32627916736722,2.5024942923552e-08,9.303390545697e-07,6.8224605746433e-07,8454,"tags=46%, list=20%, signal=37%","ENSG00000181214/ENSG00000174957/ENSG00000122136/ENSG00000197591/ENSG00000197125/ENSG00000186513/ENSG00000196171/ENSG00000254834/ENSG00000174937/ENSG00000291859/ENSG00000196578/ENSG00000292014/ENSG00000148215/ENSG00000196119/ENSG00000228567/ENSG00000279395/ENSG00000181518/ENSG00000167825/ENSG00000181767/ENSG00000171102/ENSG00000251608/ENSG00000262851/ENSG00000172324/ENSG00000168158/ENSG00000172320/ENSG00000241128/ENSG00000284680/ENSG00000203757/ENSG00000230301/ENSG00000205029/ENSG00000198967/ENSG00000236032/ENSG00000172365/ENSG00000181273/ENSG00000255425/ENSG00000173302"
"BP","GO:0007606","sensory perception of chemical stimulus",445,0.413526390647356,2.29022575736623,1e-10,6.01904761904762e-09,4.41395154553049e-09,12327,"tags=47%, list=29%, signal=34%","ENSG00000160349/ENSG00000236981/ENSG00000292019/ENSG00000255374/ENSG00000181214/ENSG00000109991/ENSG00000174957/ENSG00000275102/ENSG00000122136/ENSG00000254769/ENSG00000234560/ENSG00000197591/ENSG00000197125/ENSG00000186513/ENSG00000170373/ENSG00000237388/ENSG00000179615/ENSG00000175077/ENSG00000291554/ENSG00000175398/ENSG00000132259/ENSG00000181961/ENSG00000168131/ENSG00000179626/ENSG00000124657/ENSG00000130538/ENSG00000278889/ENSG00000172150/ENSG00000275617/ENSG00000274870/ENSG00000183310/ENSG00000196171/ENSG00000254834/ENSG00000277932/ENSG00000136839/ENSG00000176290/ENSG00000291821/ENSG00000174937/ENSG00000291859/ENSG00000177186/ENSG00000272987/ENSG00000173610/ENSG00000174339/ENSG00000172208/ENSG00000196578/ENSG00000292014/ENSG00000187080/ENSG00000148215/ENSG00000172519/ENSG00000277556/ENSG00000279514/ENSG00000220721/ENSG00000196119/ENSG00000186723/ENSG00000255307/ENSG00000180988/ENSG00000198471/ENSG00000127529/ENSG00000260811/ENSG00000292249/ENSG00000228567/ENSG00000176742/ENSG00000182613/ENSG00000186440/ENSG00000108684/ENSG00000284662/ENSG00000284733/ENSG00000176299/ENSG00000255804/ENSG00000179002/ENSG00000279395/ENSG00000175619/ENSG00000181803/ENSG00000176540/ENSG00000131686/ENSG00000181001/ENSG00000261949/ENSG00000174667/ENSG00000258453/ENSG00000162572/ENSG00000278870/ENSG00000280094/ENSG00000185926/ENSG00000181518/ENSG00000167825/ENSG00000279961/ENSG00000186943/ENSG00000291849/ENSG00000169962/ENSG00000185899/ENSG00000285341/ENSG00000167355/ENSG00000255713/ENSG00000169884/ENSG00000170923/ENSG00000181767/ENSG00000171102/ENSG00000176798/ENSG00000251608/ENSG00000142319/ENSG00000177201/ENSG00000262628/ENSG00000262851/ENSG00000172324/ENSG00000168158/ENSG00000221888/ENSG00000171561/ENSG00000172320/ENSG00000070729/ENSG00000237521/ENSG00000257138/ENSG00000185101/ENSG00000180785/ENSG00000241128/ENSG00000284680/ENSG00000213199/ENSG00000187918/ENSG00000177489/ENSG00000234746/ENSG00000203757/ENSG00000253148/ENSG00000197887/ENSG00000176895/ENSG00000169488/ENSG00000230301/ENSG00000176198/ENSG00000196248/ENSG00000179695/ENSG00000292303/ENSG00000180974/ENSG00000284939/ENSG00000205029/ENSG00000198967/ENSG00000279270/ENSG00000180919/ENSG00000237621/ENSG00000254466/ENSG00000273713/ENSG00000280021/ENSG00000198601/ENSG00000232945/ENSG00000181958/ENSG00000236032/ENSG00000258806/ENSG00000172365/ENSG00000275754/ENSG00000183251/ENSG00000291812/ENSG00000226000/ENSG00000148136/ENSG00000121377/ENSG00000274327/ENSG00000162727/ENSG00000197532/ENSG00000181273/ENSG00000279000/ENSG00000255425/ENSG00000181752/ENSG00000176253/ENSG00000173302/ENSG00000291780/ENSG00000183269/ENSG00000183024/ENSG00000179919/ENSG00000161807/ENSG00000170953/ENSG00000273508/ENSG00000146383/ENSG00000179073/ENSG00000291809/ENSG00000127588/ENSG00000228336/ENSG00000225550/ENSG00000172289/ENSG00000188324/ENSG00000183389/ENSG00000291806/ENSG00000258083/ENSG00000184022/ENSG00000291810/ENSG00000275244/ENSG00000183128/ENSG00000184478/ENSG00000176495/ENSG00000183862/ENSG00000280090/ENSG00000169208/ENSG00000273086/ENSG00000171481/ENSG00000226347/ENSG00000273326/ENSG00000176200/ENSG00000182070/ENSG00000196832/ENSG00000221813/ENSG00000213215/ENSG00000284866/ENSG00000096433/ENSG00000184933/ENSG00000239590/ENSG00000114349/ENSG00000184321/ENSG00000183313/ENSG00000176269/ENSG00000121314/ENSG00000203663/ENSG00000232268/ENSG00000187848/ENSG00000181616/ENSG00000171942"
"BP","GO:0032603","fractalkine production",10,0.89141982215074,2.28577334520457,3.18290401492974e-07,9.26646604576857e-06,6.79538271052885e-06,4386,"tags=40%, list=10%, signal=36%","ENSG00000172232/ENSG00000278624/ENSG00000228978/ENSG00000232810"
"BP","GO:0032644","regulation of fractalkine production",10,0.89141982215074,2.28577334520457,3.18290401492974e-07,9.26646604576857e-06,6.79538271052885e-06,4386,"tags=40%, list=10%, signal=36%","ENSG00000172232/ENSG00000278624/ENSG00000228978/ENSG00000232810"
