"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04740","Olfactory transduction",306,0.540733200861622,2.90505462101696,1e-10,9.15e-09,6e-09,7154,"tags=56%, list=28%, signal=41%","219870/127077/282775/343563/219869/391189/26493/219957/403253/121129/121130/1262/81327/81697/341418/26212/81061/56656/127074/127068/26189/390167/81448/390082/286362/283617/391196/219482/79482/81050/134083/401994/119764/391191/392391/284433/138799/219428/390275/26539/255725/26658/403257/390077/283111/285659/128366/81399/729759/441670/79549/79346/119765/219437/341799/79473/125958/79334/79324/119749/347169/338662/10798/138802/219479/282763/124538/390882/390151/119682/26530/127064/8386/219464/219981/4993/26188/341152/219982/6543/1258/26648/143503/388761/26595/390064/51764/79295/79339/26696/219873/121364/81470/390442/390433/390144/219958/125962/135946/283365/127069/81328/390197/390081/128368/390079/219986/391114/196335/219858/130075/341416/26735/119687/391194/256892/390195/387815/219453/127059/5568/119695/1260/120793/26707/390441/390201/390083/26533/23538/138804/81439/81127/390190/401992/390093/391112/390439/403273/390181/8390/283162/26211/8590/26219/338751/441308/26246/390037/390067/26538/392392/810/127062/390538/5153/343170/219865/4992/219965/26686/26248/390113/391109/390191/390429/254973/8387/390073/26689/254783/8388"
"hsa04080","Neuroactive ligand-receptor interaction",337,0.372779055252894,2.02648033892243,1.94318526551664e-10,1.42241161435818e-08,9.32728927447988e-09,3776,"tags=29%, list=15%, signal=25%","135/283869/5024/7425/1142/84539/6343/6754/7349/90226/9248/4987/51289/3060/186/1442/2550/2831/5617/51083/116444/146/2691/79957/7200/2797/2492/10316/134/8620/5021/1394/387129/2642/2922/4544/5540/2565/3972/116/2906/3814/2742/4158/551/1815/3352/9002/2905/1816/2692/2834/5644/5173/796/1269/53637/56413/2558/2914/2900/8484/51738/2913/1444/432355/2895/2569/3363/5739/887/1137/152/79924/2912/3362/148/1241/165829/5031/2740/1814/11054/4828/255061/257313/5443/2893/2846/5032/2925/680/100506013/84634/11255/3350/100169851/117579"
"hsa04950","Maturity onset diabetes of the young",23,0.594910323897795,1.96658431122554,0.000642021494167664,0.00451884359356471,0.00296317612692768,3067,"tags=39%, list=12%, signal=35%","3175/6928/4825/3170/5078/389692/3110/222546/3651"
"hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis",6,0.781769814525692,1.69887090897569,0.0119738488583654,0.0425478512831237,0.0279002303495893,2989,"tags=50%, list=12%, signal=44%","137362/6898/259307"
"hsa04612","Antigen processing and presentation",75,0.391230848878601,1.6641041022067,0.00264577930641472,0.0136388060020815,0.00894347934562724,3747,"tags=28%, list=14%, signal=24%","3122/3303/115653/3115/3802/3107/3135/6892/3805/3809/7124/3106/3109/3123/3305/3111/6891/3119/3105/3808/3811"
"hsa04081","Hormone signaling",204,0.320130669767607,1.6249789011416,0.000313872604930882,0.00249733420445006,0.00163759619963939,3141,"tags=22%, list=12%, signal=19%","84539/6754/7349/90226/4987/3060/186/1442/114/5617/146/2691/7200/2797/2492/3481/5021/1394/94235/2642/268/3972/4158/2520/551/1815/1816/2692/2834/5173/2056/796/51738/1444/887/10267/53919/1733/152/5744/148/2740/1814/5443"
"hsa04974","Protein digestion and absorption",102,0.353684833330099,1.59911440269114,0.0013974567911604,0.00824950299297913,0.00540951015933057,2560,"tags=24%, list=10%, signal=21%","340024/57642/50509/1301/1358/1302/85301/4224/136227/1305/1277/5644/1307/1295/51032/440387/1284/1288/1280/6550/1294/1289/169044/6543"
"hsa04517","IgSF CAM signaling",295,-0.260712371813927,-1.40181065431256,0.00614575547930955,0.0252735562407561,0.0165728237644302,5841,"tags=32%, list=23%, signal=25%","4916/5376/9223/85366/57522/5604/1432/4685/5777/51678/57502/84631/23426/2037/140735/6586/51735/71/150084/287/5062/4133/5921/56288/5789/5601/5375/84612/2036/57689/117178/8777/79861/22999/1000/253559/4008/9353/9901/25945/6504/3676/998/914/347733/8826/288/10000/3791/139065/10552/7082/8573/5781/5906/10451/110117499/58494/5594/10097/83700/23607/5962/8503/11141/5599/23705/10382/2932/1272/4690/1499/7189/962/8655/5295/201633/22871/8499/1525/6092/10094/51744/4068/120425/5584/10225/10627/103910/22829/10666/942/5908/84189"
"hsa05152","Tuberculosis",173,-0.280567470953755,-1.42375793946808,0.0112805415815151,0.0417038203922679,0.0273467674703396,4852,"tags=34%, list=19%, signal=27%","23545/843/718/1385/3552/1432/10333/4802/836/22925/2214/8915/5601/7879/841/817/3458/51606/3126/5534/5869/10892/10000/23365/1520/1379/2212/6772/1054/7099/3329/805/5594/3717/7096/5894/317/2215/5599/3593/3459/54205/50617/64581/4360/7189/5289/5868/26253/3313/3586/3606/51135/8411/3920/102723407/4801/3127"
"hsa04068","FoxO signaling pathway",132,-0.299636034221503,-1.43913850009915,0.0125341812947547,0.0441106764796174,0.0289250337571262,6419,"tags=36%, list=25%, signal=27%","5291/1901/5728/5563/11337/5934/6446/1027/5604/4193/1432/6774/6655/51422/9456/664/26260/5562/2290/5601/6789/3575/901/8743/23678/5571/10000/3479/7046/673/110117499/5594/6654/847/7874/5894/8503/5599/10733/5295/3586/356/10018/1950/1147/102800317/4089/472"
"hsa05418","Fluid shear stress and atherosclerosis",141,-0.298745077827518,-1.45273843052626,0.00985861946694653,0.0375859867177336,0.0246465486673663,5713,"tags=33%, list=22%, signal=26%","3552/1432/1906/71/5562/2939/2946/90/6613/5601/1728/4208/2940/7184/3458/5607/6416/4205/3554/4257/10000/3791/92/7850/4258/805/110117499/659/4780/6347/8503/5599/2949/1499/387082/445/2941/5295/4259/2948/2952/1147/657/2947/119391/2938/7295"
"hsa04012","ErbB signaling pathway",85,-0.329376339138975,-1.4609330639703,0.0116631501853938,0.0421590106768447,0.027645252902849,7588,"tags=42%, list=29%, signal=30%","5747/6198/208/4893/6777/2549/5291/868/5579/1027/5604/6655/53358/5062/2065/5601/817/867/6416/145957/10000/673/110117499/5594/6654/5894/8503/5599/2932/4690/2066/374/5295/1950/9542/2069"
"hsa04620","Toll-like receptor signaling pathway",103,-0.325352665922418,-1.49412033428804,0.00779888355107386,0.0306923804268068,0.0201261510995454,3817,"tags=24%, list=15%, signal=21%","6416/51284/10000/7098/4283/6772/7099/7100/110117499/5594/7096/8503/5599/3593/7189/5295/51311/3454/1147/3627/51135/6373/942/23118/23643"
"hsa05161","Hepatitis B",157,-0.299409809499409,-1.49643984871422,0.00439079594267846,0.0193618230725339,0.0126962774246124,3577,"tags=24%, list=14%, signal=21%","7529/10000/4214/7098/6772/7046/7534/673/7099/5111/1386/110117499/5594/3717/6654/4775/5894/8503/317/5599/1654/54205/898/7189/7419/6775/6554/5295/9134/356/3454/355/1147/51135/4089/5925/23118/148327"
